Neighborhood,Median_Gross_Rent,twoBR,oneBR,studio
Overall,1142,1295.337662599032,1089.378974245786,1049.223506705216
10th & Page,974,1104.7801080310485,929.1200708541118,894.8718875051493
Barracks / Rugby,1746,1980.4374421172588,1665.5478888206146,1604.1543281149798
Barracks Road,1109,1257.9067143803209,1057.8995467938498,1018.90443864806
Belmont,1061,1203.4616987894683,1012.1112886819428,974.8039760194694
Fifeville,1175,1332.768610817743,1120.8584016977218,1079.542574762372
Fry's Spring,1235,1400.8248803063086,1178.0937243376054,1134.66815304811
Greenbrier,1375,1559.622842446295,1311.642810497334,1263.294502381499
Jefferson Park Ave,1213,1375.8709148271678,1157.107439369648,1114.4554410100059
Johnson Village,1272,1442.7929131575906,1213.3888399655336,1168.6622596576485
Lewis Mountain,1453,1648.0959927814304,1386.0487299291829,1334.9577541529586
Locust Grove,1341,1521.0576230694412,1279.2094610014,1232.0566746862476
Martha Jefferson,1174,1331.6343396596003,1119.904479653724,1078.6238151242762
North Downtown,1136,1288.5320356501752,1083.6554419817974,1043.710948876642
Ridge Street,635,720.2621854206525,605.7404979387687,583.4123701907286
Rose Hill,1039,1178.5077333103277,991.1250037139855,954.5912639813655
Starr Hill / Mall,940,1066.2148886541943,896.6867213581774,863.6340598098974
The Meadows,1006,1141.0767850916166,959.6455762620495,924.2721959242094
Venable,1170,1327.0972550270294,1116.0887914777318,1074.9487765718939
Woolen Mills,913,1035.58956738434,870.9308261702298,838.8275495813155
