id,airbnb_property_id,homeaway_property_id,m_homeaway_property_id,title,room_type,property_type,adr,occ,revenue,reviews,rating,bedrooms,accommodates,bathrooms,latitude,longitude,days_available,img_cover,regions
16695,1003718,,,"100 % Solar, 2 BR, 1 Bath, UVa, Preston, Downtown",Entire home/apt,Home,192.66667,permission_denied,permission_denied,267,9.9,2,4,1.0,38.04076,-78.48811,74,https://a0.muscache.com/im/pictures/0f77d188-7b6f-424e-ada2-465b70aa5a06.jpg?aki_policy=x_large,[21399]
16801,123971,,,"Rest, Relax, & Rejuvenate at the Forest Haven!",Entire home/apt,Guest suite,106.42487,permission_denied,permission_denied,379,9.9,1,4,1.0,38.08557,-78.5993,250,https://a0.muscache.com/im/pictures/f01b2533-4290-4f0b-a40c-62895057fbd4.jpg?aki_policy=x_large,[21394]
16858,2591146,,,"Comfort, Convenience, & Charm - The Charles Suite",Private room,Home,70.983604,permission_denied,permission_denied,454,9.9,1,2,1.0,38.04686,-78.50017,127,https://a0.muscache.com/im/pictures/42953717/b343a950_original.jpg?aki_policy=x_large,[21399]
16896,1079716,,,Baileys Retreat Log Cabin-Wine/Beer Tour,Entire home/apt,Cabin,183.87987,permission_denied,permission_denied,755,9.8,1,2,1.0,38.08326,-78.62196,365,https://a0.muscache.com/im/pictures/bb5b0e65-c4fe-4282-9d23-b4dfe66fb87b.jpg?aki_policy=x_large,[21394]
16915,1334381,,,Bright Private apt (Separate entrance) near DT,Entire home/apt,Rental unit,114.699715,permission_denied,permission_denied,135,9.7,1,2,1.0,38.0408,-78.46504,263,https://a0.muscache.com/im/pictures/a7dd7852-7b83-481e-a37e-dbe56ee2e8e8.jpg?aki_policy=x_large,[21394]
16957,2912934,,,N. Downtown Arts & Crafts Bungalow,Entire home/apt,Home,211.35135,permission_denied,permission_denied,176,9.6,2,4,1.5,38.0349,-78.48187,37,https://a0.muscache.com/im/pictures/38859906/089a8468_original.jpg?aki_policy=x_large,[21398]
16986,6967254,,,Suite w/Pvt. Entrance+Screen Porch.,Entire home/apt,Guest suite,67.189026,permission_denied,permission_denied,801,9.6,1,2,1.0,38.04465,-78.45598,351,https://a0.muscache.com/im/pictures/0ed91ffa-7b08-4407-b16b-427bffd17a89.jpg?aki_policy=x_large,[21394]
17029,1664377,,,Bailey''s Retreat Cottage #1- Wine/Beer Tour option,Entire home/apt,Cottage,186.18106,permission_denied,permission_denied,409,9.7,2,4,1.0,38.08326,-78.62196,356,https://a0.muscache.com/im/pictures/b5fb1f63-a72b-4f48-8c95-4a0be900b4fb.jpg?aki_policy=x_large,[21394]
17051,2399994,,688243,Oxford Cottage: Cville’s favorite tiny home!,Entire home/apt,Tiny home,125.70525,permission_denied,permission_denied,586,9.9,1,4,1.0,38.04792,-78.48525,323,https://a0.muscache.com/im/pictures/0d54fa26-beaf-488e-8167-1e714d2601ae.jpg?aki_policy=x_large,[21399]
17072,5124187,,,Bailey''s Retreat Cottage #3 Wine/Beer tour option,Entire home/apt,Guesthouse,187.31767,permission_denied,permission_denied,353,9.7,2,4,1.0,38.08326,-78.6177,361,https://a0.muscache.com/im/pictures/0a67baae-fcc9-4886-8273-c5f633fd5a69.jpg?aki_policy=x_large,[21394]
17092,1051475,,,A Cozy Place Designed for Settling In!,Entire home/apt,Guesthouse,100.0,permission_denied,permission_denied,107,9.8,1,2,1.0,38.07332,-78.45861,9,https://a0.muscache.com/im/pictures/16084143/4d411d6b_original.jpg?aki_policy=x_large,[21394]
17128,2006572,,,Bailey''s Retreat Cottage #2 Wine/Beer Tour option,Entire home/apt,Cottage,180.04912,permission_denied,permission_denied,354,9.7,2,4,1.0,38.08326,-78.62196,362,https://a0.muscache.com/im/pictures/3807408c-0ce6-48fd-8409-8e157915eaf6.jpg?aki_policy=x_large,[21394]
17150,1792587,,,"Cape Cod in Locust Grove, C''ville",Private room,Home,69.90877,permission_denied,permission_denied,309,9.9,2,3,1.5,38.04364,-78.45777,330,https://a0.muscache.com/im/pictures/a45d6d2e-70c3-4424-bde5-08b454346cc7.jpg?aki_policy=x_large,[21394]
17225,362632,,,beautiful unusual home,Private room,Home,72.33517,permission_denied,permission_denied,433,9.8,1,2,1.0,38.03426,-78.46745,288,https://a0.muscache.com/im/pictures/4060204/ba6729f0_original.jpg?aki_policy=x_large,[21398]
17254,1186869,,,Do Drop Inn - charming 2BR bungalow,Entire home/apt,Bungalow,222.65883,permission_denied,permission_denied,376,9.8,2,4,1.0,38.04001,-78.49236,267,https://a0.muscache.com/im/pictures/25473067/415d7697_original.jpg?aki_policy=x_large,[21399]
17341,4411892,,,Private room - king mattress,Private room,Home,117.916664,permission_denied,permission_denied,96,9.6,1,3,1.0,38.07528,-78.62289,31,https://a0.muscache.com/im/pictures/2a053ded-6e45-4182-9ee2-8f245820c34e.jpg?aki_policy=x_large,[21394]
17388,236217,,,3Bed/2Ba Townhome near UVA w/free parking $2300/mo,Entire home/apt,Townhouse,250.78947,permission_denied,permission_denied,135,9.6,3,7,2.0,38.06949,-78.49211,131,https://a0.muscache.com/im/pictures/2353939/147ef22e_original.jpg?aki_policy=x_large,[21394]
17413,164672,,,Sunny Garden Apartment,Entire home/apt,Guest suite,133.58434,permission_denied,permission_denied,20,9.4,1,2,1.0,38.06141,-78.47464,192,https://a0.muscache.com/im/pictures/4381317/c79e7b35_original.jpg?aki_policy=x_large,[21394]
17437,2350534,,,Elbow Room - spacious suite in quiet neighborhood,Private room,Home,83.6504,permission_denied,permission_denied,133,9.9,1,4,1.0,38.07705,-78.45949,356,https://a0.muscache.com/im/pictures/84eab2b9-64b4-4f92-b81b-259e4c6f7e83.jpg?aki_policy=x_large,[21394]
17455,2571114,,,Escape to the Mountains- Bailey’s Retreat Cottage,Entire home/apt,Cottage,187.07343,permission_denied,permission_denied,339,9.8,2,4,1.0,38.08105,-78.6185,360,https://a0.muscache.com/im/pictures/bf7ae874-12d3-4890-bebf-26783d6d8c4b.jpg?aki_policy=x_large,[21394]
17472,6674438,,,Luxury cottage in Downtown C-Ville,Entire home/apt,Guesthouse,192.43329,permission_denied,permission_denied,350,9.8,1,4,1.0,38.03915,-78.46158,312,https://a0.muscache.com/im/pictures/84170457/b136d71b_original.jpg?aki_policy=x_large,[21394]
17728,236279,,,Comfortable room in the Nest at Meadowcreek,Private room,Home,86.283134,permission_denied,permission_denied,85,9.9,1,2,1.5,38.04442,-78.45756,246,https://a0.muscache.com/im/pictures/21147261/a8824da6_original.jpg?aki_policy=x_large,[21394]
17830,4553416,,,Bailey''s Retreat Farmhouse Wine/Beer Tour option,Entire home/apt,Home,262.83133,permission_denied,permission_denied,220,9.7,3,6,1.5,38.08266,-78.61942,365,https://a0.muscache.com/im/pictures/d32e55dd-2b06-4c27-bc17-bafb148a93a7.jpg?aki_policy=x_large,[21394]
18020,81577,,,The Nest at Meadowcreek,Entire home/apt,Home,266.2973,permission_denied,permission_denied,82,9.5,2,4,2.5,38.04969,-78.45422,278,https://a0.muscache.com/im/pictures/miso/Hosting-81577/original/309f26b8-a7c7-462d-9008-8c039b6cdb1a.jpeg?aki_policy=x_large,[21394]
18264,919860,,3660449ha,The Recycled House - Walk Downtown,Entire home/apt,Guesthouse,306.80273,permission_denied,permission_denied,224,9.9,1,6,1.5,38.03621,-78.47852,222,https://a0.muscache.com/im/pictures/66781442/fef05c16_original.jpg?aki_policy=x_large,[21398]
18363,402066,,,Beautiful Home - Heart of C-Ville,Entire home/apt,Home,460.7143,permission_denied,permission_denied,10,10.0,2,4,2.0,38.04041,-78.46507,7,https://a0.muscache.com/im/pictures/4574816/ef48b7d6_original.jpg?aki_policy=x_large,[21394]
18644,4085607,,,Cozy Cape Cod in Heart of Downtown,Entire home/apt,Home,282.05264,permission_denied,permission_denied,78,9.9,2,4,1.0,38.04305,-78.46014,47,https://a0.muscache.com/im/pictures/53973427/ec3f8b74_original.jpg?aki_policy=x_large,[21394]
18681,1382393,,694133,Downtown Bungalow - 4 Blocks from Downtown Mall!,Entire home/apt,Home,468.47827,permission_denied,permission_denied,78,9.9,3,6,2.0,38.03568,-78.48166,195,https://a0.muscache.com/im/pictures/82331473/c9e4873b_original.jpg?aki_policy=x_large,[21399]
18857,941471,,,The Forest Haven II - Relax & Enjoy Nature Here!,Entire home/apt,Home,311.39175,permission_denied,permission_denied,19,9.7,3,6,2.5,38.08602,-78.5996,250,https://a0.muscache.com/im/pictures/c2c5d3c9-d748-473b-84e6-269de5f4271c.jpg?aki_policy=x_large,[21394]
18877,5457390,,,Foxfield Inn - Dogwood Room,Private room,Bed and breakfast,281.85184,permission_denied,permission_denied,0,,1,2,1.0,38.10324,-78.56568,58,https://a0.muscache.com/im/pictures/b4befee9-f892-4c9a-9322-a428f7e0a9be.jpg?aki_policy=x_large,[21394]
100908,6391242,,,Cozy Modern Townhouse in Central Charlottesville,Entire home/apt,Townhouse,176.53847,permission_denied,permission_denied,85,10.0,2,2,1.5,38.02846,-78.50085,31,https://a0.muscache.com/im/pictures/80048570/2d5205b0_original.jpg?aki_policy=x_large,[21399]
100967,7086685,,,Cheerful Cottage,Entire home/apt,Cottage,220.67143,permission_denied,permission_denied,320,9.9,2,5,2.0,38.02834,-78.4667,343,https://a0.muscache.com/im/pictures/b32a3844-b7a2-43a1-b540-b3fc9779946c.jpg?aki_policy=x_large,[21398]
101183,762275,,,Treehouse on Stilts,Entire home/apt,Tiny home,109.85507,permission_denied,permission_denied,322,9.6,2,4,1.0,38.029,-78.46394,107,https://a0.muscache.com/im/pictures/10601633/57be7c6d_original.jpg?aki_policy=x_large,[21398]
101260,1300790,,,Classy new renovation in Fifeville,Entire home/apt,Rental unit,180.45143,permission_denied,permission_denied,279,9.6,1,2,1.0,38.03022,-78.49316,245,https://a0.muscache.com/im/pictures/8763262b-7a22-40a2-898f-ff10ba1d5fe7.jpg?aki_policy=x_large,[21399]
101320,4391817,,,Private Downtown Suite (contactless check-in),Entire home/apt,Rental unit,138.82967,permission_denied,permission_denied,580,9.6,1,4,1.0,38.02449,-78.48075,216,https://a0.muscache.com/im/pictures/76615068/5b2b488f_original.jpg?aki_policy=x_large,[21398]
