Age,Total,Totalct,Year,ag
0 to 9,10.21,4225,2009,"(4,225 : 10.21%)"
10 to 19,11.52,4767,2009,"(4,767 : 11.52%)"
20 to 29,31.32,12964,2009,"(12,964 : 31.32%)"
30 to 39,11.21,4639,2009,"(4,639 : 11.21%)"
40 to 49,9.5,3931,2009,"(3,931 : 9.50%)"
50 to 59,9.13,3778,2009,"(3,778 : 9.13%)"
60 to 69,6.95,2876,2009,"(2,876 : 6.95%)"
70 to 79,5.75,2382,2009,"(2,382 : 5.75%)"
80 and up,4.42,1831,2009,"(1,831 : 4.42%)"
0 to 9,9.17,3875,2010,"(3,875 : 9.17%)"
10 to 19,13.78,5825,2010,"(5,825 : 13.78%)"
20 to 29,31.68,13392,2010,"(13,392 : 31.68%)"
30 to 39,12.12,5124,2010,"(5,124 : 12.12%)"
40 to 49,9.6,4056,2010,"(4,056 : 9.60%)"
50 to 59,10.25,4331,2010,"(4,331 : 10.25%)"
60 to 69,6.66,2816,2010,"(2,816 : 6.66%)"
70 to 79,3.8,1605,2010,"(1,605 : 3.80%)"
80 and up,2.94,1243,2010,"(1,243 : 2.94%)"
0 to 9,8.81,3765,2011,"(3,765 : 8.81%)"
10 to 19,12.17,5204,2011,"(5,204 : 12.17%)"
20 to 29,33.68,14403,2011,"(14,403 : 33.68%)"
30 to 39,12.48,5335,2011,"(5,335 : 12.48%)"
40 to 49,9.4,4020,2011,"(4,020 : 9.40%)"
50 to 59,9.88,4224,2011,"(4,224 : 9.88%)"
60 to 69,6.97,2979,2011,"(2,979 : 6.97%)"
70 to 79,3.73,1594,2011,"(1,594 : 3.73%)"
80 and up,2.89,1234,2011,"(1,234 : 2.89%)"
0 to 9,8.96,3872,2012,"(3,872 : 8.96%)"
10 to 19,11.32,4891,2012,"(4,891 : 11.32%)"
20 to 29,33.64,14539,2012,"(14,539 : 33.64%)"
30 to 39,13.08,5653,2012,"(5,653 : 13.08%)"
40 to 49,9.54,4124,2012,"(4,124 : 9.54%)"
50 to 59,9.69,4187,2012,"(4,187 : 9.69%)"
60 to 69,7.25,3134,2012,"(3,134 : 7.25%)"
70 to 79,3.83,1654,2012,"(1,654 : 3.83%)"
80 and up,2.7,1169,2012,"(1,169 : 2.70%)"
0 to 9,9.12,3983,2013,"(3,983 : 9.12%)"
10 to 19,11.28,4927,2013,"(4,927 : 11.28%)"
