Age,10th & Page_T,Barracks / Rugby_T,Barracks Road_T,Belmont_T,Fifeville_T,Fry's Spring_T,Greenbrier_T,Jefferson Park Avenue_T,Johnson Village_T,Lewis Mountain_T,Locust Grove_T,Martha Jefferson_T,North Downtown_T,Ridge Street_T,Rose Hill_T,Starr Hill_T,The Meadows_T,Venable_T,Woolen Mills_T,10th & Page_Tct,Barracks / Rugby_Tct,Barracks Road_Tct,Belmont_Tct,Fifeville_Tct,Fry's Spring_Tct,Greenbrier_Tct,Jefferson Park Avenue_Tct,Johnson Village_Tct,Lewis Mountain_Tct,Locust Grove_Tct,Martha Jefferson_Tct,North Downtown_Tct,Ridge Street_Tct,Rose Hill_Tct,Starr Hill_Tct,The Meadows_Tct,Venable_Tct,Woolen Mills_Tct,Year
0 to 4,5.70430733410943,7.398452611218569,5.287356321839081,4.34561626429479,6.015249929398475,5.902560899437852,6.595365418894831,0.9368726299353112,13.526011560693641,0.0,9.118942731277533,10.289855072463768,7.455268389662028,7.713248638838476,2.4703557312252964,0.0,10.626076967260195,1.6566485852514294,4.776422764227642,49,153,23,171,213,189,148,42,234,0,207,142,150,255,25,0,185,113,47,2013
5 to 9,7.334109429569266,6.963249516441006,0.0,4.955527318932655,5.591640779440836,0.0,6.149732620320855,0.26767789426723176,4.566473988439307,0.0,2.5991189427312777,5.217391304347826,4.52286282306163,6.866303690260133,2.4703557312252964,2.79126213592233,9.477311889718553,1.5247031227092802,4.2682926829268295,63,144,0,195,198,0,138,12,79,0,59,72,91,227,25,23,165,104,42,2013
10 to 14,3.608847497089639,4.061895551257253,1.3793103448275863,3.278271918678526,7.257836769274216,2.3422860712054967,4.901960784313726,0.8030336828016953,6.242774566473988,0.0,4.317180616740088,4.63768115942029,3.926441351888668,6.200846944948578,4.841897233201581,0.0,6.0884549109707065,1.0262424864389386,8.841463414634147,31,84,6,129,257,75,110,36,108,0,98,64,79,205,49,0,106,70,87,2013
15 to 19,4.656577415599535,4.497098646034816,21.149425287356323,5.2604828462515885,5.817565659418244,3.9350405996252342,3.609625668449198,18.15748382779389,6.069364161849711,13.480392156862745,5.286343612334802,2.971014492753623,1.8886679920477136,6.533575317604356,0.5928853754940712,1.941747572815534,5.91614014933946,13.28250989590969,1.3211382113821137,40,93,92,207,206,126,81,814,105,110,120,41,38,216,6,16,103,906,13,2013
20 to 24,4.307334109429569,7.93036750483559,42.06896551724138,7.649301143583227,10.336063258966394,11.336664584634603,3.2085561497326203,51.34954271693063,15.433526011560694,47.30392156862745,4.493392070484582,3.1884057971014492,5.715705765407555,7.289776164549305,18.379446640316207,7.524271844660194,3.2165422171166,55.255827591262275,12.5,37,164,183,301,366,363,72,2302,267,386,102,44,115,241,186,62,56,3769,123,2013
25 to 29,6.169965075669383,7.108317214700193,17.011494252873565,11.003811944091487,12.454109008754589,22.485946283572765,4.634581105169341,12.670086995315637,8.092485549132949,19.852941176470587,7.797356828193832,6.739130434782608,8.996023856858846,13.036902601330913,17.391304347826086,24.635922330097088,16.88684663986215,7.8287641108341885,11.6869918699187,53,147,74,433,441,720,104,568,140,162,177,93,181,431,176,203,294,534,115,2013
30 to 34,16.181606519208383,5.899419729206963,4.827586206896552,12.172808132147395,11.776334368822367,14.647095565271705,3.342245989304813,5.353557885344635,4.104046242774566,0.9803921568627451,9.295154185022026,12.898550724637682,13.27037773359841,9.376890502117362,11.857707509881424,3.5194174757281553,2.5847214244686962,2.345697111860431,10.16260162601626,139,122,21,479,417,469,75,240,71,8,211,178,267,310,120,29,45,160,100,2013
35 to 39,2.6775320139697323,10.9284332688588,2.0689655172413794,6.353240152477763,6.297656029370234,2.935665209244222,4.81283422459893,3.479812625474013,15.260115606936417,0.0,11.365638766519824,13.478260869565217,10.834990059642147,5.081669691470054,0.0,3.3980582524271843,7.869040781160253,2.155109221521771,5.08130081300813,23,226,9,250,223,94,108,156,264,0,258,186,218,168,0,28,137,147,50,2013
40 to 44,5.122235157159488,5.1257253384912955,1.839080459770115,7.141041931385006,6.495340299350466,5.8088694565896315,8.957219251336898,0.15614543832255187,3.7572254335260116,0.0,4.757709251101321,3.1159420289855073,9.691848906560637,4.083484573502722,13.735177865612648,8.131067961165048,5.973578403216543,2.2723940771147926,2.6422764227642275,44,106,8,281,230,186,201,7,65,0,108,43,195,135,139,67,104,155,26,2013
45 to 49,3.608847497089639,7.011605415860735,2.2988505747126435,6.861499364675985,8.472182999152782,2.717051842598376,7.263814616755793,1.093018068257863,7.976878612716763,0.0,3.788546255506608,5.36231884057971,5.168986083499006,7.773744706594071,5.632411067193676,7.645631067961165,2.8719126938541066,2.0818061867761326,9.044715447154472,31,145,10,270,300,87,163,49,138,0,86,74,104,257,57,63,50,142,89,2013
50 to 54,11.059371362048894,9.13926499032882,2.0689655172413794,8.66581956797967,6.0999717593900025,4.309806371018114,4.634581105169341,1.8737452598706223,0.9826589595375722,3.4313725490196076,7.004405286343612,6.449275362318841,4.52286282306163,9.013914095583788,9.486166007905139,1.8203883495145632,3.2739804709936817,1.9938425450813664,6.7073170731707314,95,189,9,341,216,138,104,84,17,28,159,89,91,298,96,15,57,136,66,2013
55 to 59,8.614668218859139,5.222437137330754,0.0,7.2935196950444725,4.038407229596159,6.55840099937539,8.422459893048128,1.8291322774927503,1.2138728323699421,3.4313725490196076,5.638766519823789,4.782608695652174,7.654075546719682,6.019358741681791,4.446640316205533,4.490291262135922,5.973578403216543,1.8472364755900894,6.605691056910569,74,108,0,287,143,210,189,82,21,28,128,66,154,199,45,37,104,126,65,2013
