,Charlottesville,Staunton,Harrisonburg,Blacksburg,Petersburg,Fredericksburg,Year
0,38369,42713,33587,29741,35874,43154,2009
1,42240,42724,37235,30548,36449,43558,2010
2,43980,42757,37850,29785,36289,44498,2011
3,44535,42918,36853,29769,35126,45951,2012
4,44601,38501,38048,30982,34424,47040,2013
5,47218,39982,38807,29271,33927,49454,2014
6,49775,40842,38750,31936,31798,51762,2015
7,50727,42948,40494,34863,32169,53980,2016
8,54739,46435,43009,39910,33939,57258,2017
9,58933,48049,43893,37151,36135,63274,2018
10,59471,52611,46679,43173,38679,65641,2019
11,59598,52292,49117,41711,43029,69528,2020
