Bracket,10th & Page,Barracks / Rugby,Barracks Road,Belmont,Fifeville,Fry's Spring,Greenbrier,Jefferson Park Avenue,Johnson Village,Lewis Mountain,Locust Grove,Martha Jefferson,North Downtown,Ridge Street,Rose Hill,Starr Hill,The Meadows,Venable,Woolen Mills,10th & Pagect,Barracks / Rugbyct,Barracks Roadct,Belmontct,Fifevillect,Fry's Springct,Greenbrierct,Jefferson Park Avenuect,Johnson Villagect,Lewis Mountainct,Locust Grovect,Martha Jeffersonct,North Downtownct,Ridge Streetct,Rose Hillct,Starr Hillct,The Meadowsct,Venablect,Woolen Millsct,Year
"Less than $10,000",21.460176991150444,5.899280575539568,37.170263788968825,3.4774436090225564,15.366146458583433,4.658634538152611,0.0,28.54901960784314,6.218274111675127,16.666666666666668,0.0,9.424603174603174,5.841121495327103,11.692726036709722,14.56043956043956,2.6706231454005933,13.263525305410122,23.924109208699676,3.672787979966611,97,41,155,74,256,58,0,364,49,42,0,95,75,172,53,18,76,517,22,2020
"$10,000 to 14,999",0.0,0.8633093525179856,1.9184652278177459,5.216165413533835,5.5222088835534215,0.8032128514056225,3.644646924829157,3.5294117647058822,0.0,0.0,2.48868778280543,7.142857142857143,1.9470404984423677,5.030591434398368,2.4725274725274726,12.01780415430267,9.773123909249565,3.6557149467838963,0.0,0,6,8,111,92,10,32,45,0,0,22,72,25,74,9,81,56,79,0,2020
"$15,000 to 19,999",3.3185840707964602,1.870503597122302,18.225419664268586,3.0545112781954886,3.6014405762304924,1.2048192771084338,0.0,4.549019607843137,0.0,0.0,0.0,2.5793650793650795,2.64797507788162,4.010876954452753,15.659340659340659,4.747774480712166,8.202443280977313,6.571031929662193,1.1686143572621035,15,13,76,65,60,15,0,58,0,0,0,26,34,59,57,32,47,142,7,2020
"$20,000 to 24,999",8.849557522123893,0.0,0.0,4.981203007518797,5.582232893157263,0.0,0.683371298405467,18.11764705882353,1.1421319796954315,0.0,0.0,3.0753968253968256,3.426791277258567,6.798096532970768,11.263736263736265,0.0,4.712041884816754,4.581212401665895,9.68280467445743,40,0,0,106,93,0,6,231,9,0,0,31,44,100,41,0,27,99,58,2020
"$25,000 to 29,999",2.8761061946902653,0.7194244604316546,2.6378896882494005,0.8458646616541353,4.3817527010804325,1.2048192771084338,5.239179954441913,0.9411764705882353,0.0,0.0,2.7149321266968327,1.2896825396825398,2.64797507788162,4.69068660774983,0.5494505494505495,5.786350148367952,1.3961605584642234,4.442387783433595,9.181969949916528,13,5,11,18,73,15,46,12,0,0,24,13,34,69,2,39,8,96,55,2020
"$30,000 to 34,999",0.0,3.1654676258992804,4.796163069544365,7.330827067669173,4.321728691476591,0.8835341365461847,0.0,3.764705882352941,9.390862944162437,0.0,0.0,5.357142857142857,4.672897196261682,6.390210740992522,7.417582417582418,6.231454005934718,4.712041884816754,13.604812586765386,0.8347245409015025,0,22,20,156,72,11,0,48,74,0,0,54,60,94,27,42,27,294,5,2020
"$35,000 to 39,999",0.0,3.741007194244604,2.8776978417266186,8.31766917293233,4.501800720288116,1.1244979919678715,2.733485193621868,3.843137254901961,0.0,0.0,5.656108597285068,1.9841269841269842,2.4143302180685358,2.719238613188307,0.0,5.192878338278931,0.0,1.1568718186024989,0.0,0,26,12,177,75,14,24,49,0,0,50,20,31,40,0,35,0,25,0,2020
"$40,000 to 44,999",0.0,4.60431654676259,0.9592326139088729,2.6315789473684212,8.22328931572629,8.433734939759036,1.366742596810934,9.333333333333334,0.8883248730964467,0.0,5.203619909502263,1.6865079365079365,2.102803738317757,2.379333786539769,13.461538461538462,0.0,8.37696335078534,1.2956964368347987,0.0,0,32,4,56,137,105,12,119,7,0,46,17,27,35,49,0,48,28,0,2020
"$45,000 to 49,999",8.4070796460177,1.7266187050359711,1.9184652278177459,8.364661654135338,0.8403361344537815,7.068273092369478,3.416856492027335,5.647058823529412,8.248730964467006,0.0,1.6968325791855203,5.059523809523809,4.984423676012461,0.4078857919782461,4.670329670329671,0.8902077151335311,0.0,3.887089310504396,14.190317195325543,38,12,8,178,14,88,30,72,65,0,15,51,64,6,17,6,0,84,85,2020
"$50,000 to 59,999",0.4424778761061947,2.5899280575539567,4.07673860911271,10.43233082706767,6.062424969987995,11.08433734939759,7.403189066059226,4.784313725490196,14.213197969543147,0.0,15.497737556561086,11.011904761904763,6.074766355140187,7.205982324949014,2.4725274725274726,3.4124629080118694,5.7591623036649215,2.869042110134197,1.669449081803005,2,18,17,222,101,138,65,61,112,0,137,111,78,106,9,23,33,62,10,2020
"$60,000 to 74,999",17.256637168141594,7.482014388489208,6.474820143884892,8.082706766917294,10.264105642256903,5.622489959839357,8.086560364464692,1.411764705882353,0.0,4.761904761904762,11.877828054298643,9.523809523809524,1.9470404984423677,3.2630863358259687,12.637362637362637,1.9287833827893175,10.122164048865619,7.727903748264692,9.015025041736227,78,52,27,172,171,70,71,18,0,12,105,96,25,48,46,13,58,167,54,2020
"$75,000 to 99,999",19.02654867256637,15.107913669064748,9.352517985611511,11.231203007518797,12.244897959183673,14.538152610441767,8.997722095671982,7.450980392156863,7.99492385786802,6.349206349206349,15.610859728506787,18.154761904761905,20.87227414330218,10.740992522093814,4.395604395604396,12.166172106824925,7.504363001745201,5.645534474780194,31.886477462437394,86,105,39,239,204,181,79,95,63,16,138,183,268,158,16,82,43,122,191,2020
