Industry,Total,Totalct,Desc,Year,ag
Agriculture,0.49145080372683525,96,"Agriculture,<br>Forestry, Fishing &<br>Hunting, Mining",2009,(96 : 0.49%)
Wholesale,1.2491041261390396,244,Wholesale Trade,2009,(244 : 1.25%)
Information,2.313914200880516,452,Information,2009,(452 : 2.31%)
Manufacturing,2.6005938363878367,508,Manufacturing,2009,(508 : 2.60%)
Public Administration,3.0203747312378417,590,Public Administration,2009,(590 : 3.02%)
Transportation,3.6449267943073616,712,"Transportation,<br>Warehousing, Utilities",2009,(712 : 3.64%)
Finance & Insurance,4.238763182143954,828,"Finance &<br>Insurance, Real Estate,<br>Rental & Leasing",2009,(828 : 4.24%)
Other Services,4.29507525340432,839,Other Services,2009,(839 : 4.30%)
Construction,4.397460837514078,859,Construction,2009,(859 : 4.40%)
Professional,11.180505784785502,2184,"Professional, Scientific,<br>Management, Administrative,<br>Waste Management Services",2009,"(2,184 : 11.18%)"
Retail,11.195863622401966,2187,Retail Trade,2009,"(2,187 : 11.20%)"
Entertainment,12.834032968158084,2507,"Arts, Entertainment,<br>Recreation, Accommodation &<br>Food Services",2009,"(2,507 : 12.83%)"
Education & Healthcare,38.537933858912666,7528,"Educational Services,<br>Health Care & Social Assistance",2009,"(7,528 : 38.54%)"
Agriculture,0.23910860312754054,50,"Agriculture,<br>Forestry, Fishing &<br>Hunting, Mining",2010,(50 : 0.24%)
Wholesale,0.9229592080723065,193,Wholesale Trade,2010,(193 : 0.92%)
Information,2.276313901774186,476,Information,2010,(476 : 2.28%)
Manufacturing,2.945817990531299,616,Manufacturing,2010,(616 : 2.95%)
Public Administration,3.534025154225049,739,Public Administration,2010,(739 : 3.53%)
Transportation,3.8783415427287076,811,"Transportation,<br>Warehousing, Utilities",2010,(811 : 3.88%)
Construction,3.930945435416766,822,Construction,2010,(822 : 3.93%)
Finance & Insurance,4.150925350294104,868,"Finance &<br>Insurance, Real Estate,<br>Rental & Leasing",2010,(868 : 4.15%)
Other Services,4.705657309549998,984,Other Services,2010,(984 : 4.71%)
Retail,8.799196595093491,1840,Retail Trade,2010,"(1,840 : 8.80%)"
Professional,11.74501458562479,2456,"Professional, Scientific,<br>Management, Administrative,<br>Waste Management Services",2010,"(2,456 : 11.75%)"
Entertainment,12.763617234948114,2669,"Arts, Entertainment,<br>Recreation, Accommodation &<br>Food Services",2010,"(2,669 : 12.76%)"
Education & Healthcare,40.10807708861365,8387,"Educational Services,<br>Health Care & Social Assistance",2010,"(8,387 : 40.11%)"
Agriculture,0.36551789613595365,77,"Agriculture,<br>Forestry, Fishing &<br>Hunting, Mining",2011,(77 : 0.37%)
Wholesale,1.0870597170796543,229,Wholesale Trade,2011,(229 : 1.09%)
Information,2.2026013481439284,464,Information,2011,(464 : 2.20%)
Transportation,2.615589100920915,551,"Transportation,<br>Warehousing, Utilities",2011,(551 : 2.62%)
Manufacturing,3.099781638659451,653,Manufacturing,2011,(653 : 3.10%)
Public Administration,3.4700465204595083,731,Public Administration,2011,(731 : 3.47%)
Construction,3.7501186746416026,790,Construction,2011,(790 : 3.75%)
Finance & Insurance,4.068166714136523,857,"Finance &<br>Insurance, Real Estate,<br>Rental & Leasing",2011,(857 : 4.07%)
Other Services,5.055539732270009,1065,Other Services,2011,"(1,065 : 5.06%)"
Retail,7.628405962213994,1607,Retail Trade,2011,"(1,607 : 7.63%)"
Entertainment,12.532042153232696,2640,"Arts, Entertainment,<br>Recreation, Accommodation &<br>Food Services",2011,"(2,640 : 12.53%)"
Professional,13.096933447260989,2759,"Professional, Scientific,<br>Management, Administrative,<br>Waste Management Services",2011,"(2,759 : 13.10%)"
Education & Healthcare,41.02819709484477,8643,"Educational Services,<br>Health Care & Social Assistance",2011,"(8,643 : 41.03%)"
Agriculture,0.3038792080148141,64,"Agriculture,<br>Forestry, Fishing &<br>Hunting, Mining",2012,(64 : 0.30%)
Wholesale,1.343715872940506,283,Wholesale Trade,2012,(283 : 1.34%)
Information,2.250605384359717,474,Information,2012,(474 : 2.25%)
Transportation,2.3645600873652723,498,"Transportation,<br>Warehousing, Utilities",2012,(498 : 2.36%)
Manufacturing,2.7823939983856416,586,Manufacturing,2012,(586 : 2.78%)
Finance & Insurance,3.9694221546935093,836,"Finance &<br>Insurance, Real Estate,<br>Rental & Leasing",2012,(836 : 3.97%)
Public Administration,4.012155168320593,845,Public Administration,2012,(845 : 4.01%)
Construction,4.173590997578462,879,Construction,2012,(879 : 4.17%)
Other Services,5.374863491762024,1132,Other Services,2012,"(1,132 : 5.37%)"
Retail,7.26461231660415,1530,Retail Trade,2012,"(1,530 : 7.26%)"
Entertainment,12.212145672095343,2572,"Arts, Entertainment,<br>Recreation, Accommodation &<br>Food Services",2012,"(2,572 : 12.21%)"
Professional,13.066805944637007,2752,"Professional, Scientific,<br>Management, Administrative,<br>Waste Management Services",2012,"(2,752 : 13.07%)"
Education & Healthcare,40.88124970324296,8610,"Educational Services,<br>Health Care & Social Assistance",2012,"(8,610 : 40.88%)"
Agriculture,0.4022716516800757,85,"Agriculture,<br>Forestry, Fishing &<br>Hunting, Mining",2013,(85 : 0.40%)
Wholesale,0.7382867960246096,156,Wholesale Trade,2013,(156 : 0.74%)
Transportation,1.6185518220539516,342,"Transportation,<br>Warehousing, Utilities",2013,(342 : 1.62%)
Information,2.394699479413157,506,Information,2013,(506 : 2.39%)
Manufacturing,3.1045906294368195,656,Manufacturing,2013,(656 : 3.10%)
Finance & Insurance,3.4311405584477046,725,"Finance &<br>Insurance, Real Estate,<br>Rental & Leasing",2013,(725 : 3.43%)
Public Administration,3.625177472787506,766,Public Administration,2013,(766 : 3.63%)
Construction,3.9469947941315664,834,Construction,2013,(834 : 3.95%)
Other Services,5.911026975863701,1249,Other Services,2013,"(1,249 : 5.91%)"
Retail,8.296261239943208,1753,Retail Trade,2013,"(1,753 : 8.30%)"
Entertainment,12.427827733080928,2626,"Arts, Entertainment,<br>Recreation, Accommodation &<br>Food Services",2013,"(2,626 : 12.43%)"
Professional,13.303360151443446,2811,"Professional, Scientific,<br>Management, Administrative,<br>Waste Management Services",2013,"(2,811 : 13.30%)"
Education & Healthcare,40.799810695693324,8621,"Educational Services,<br>Health Care & Social Assistance",2013,"(8,621 : 40.80%)"
Agriculture,0.26618162459518213,60,"Agriculture,<br>Forestry, Fishing &<br>Hunting, Mining",2014,(60 : 0.27%)
Wholesale,1.144580985759283,258,Wholesale Trade,2014,(258 : 1.14%)
Transportation,2.1028348343019387,474,"Transportation,<br>Warehousing, Utilities",2014,(474 : 2.10%)
Information,2.6396344439022226,595,Information,2014,(595 : 2.64%)
Finance & Insurance,3.27847034293066,739,"Finance &<br>Insurance, Real Estate,<br>Rental & Leasing",2014,(739 : 3.28%)
Public Administration,3.478106561377046,784,Public Administration,2014,(784 : 3.48%)
Manufacturing,3.513597444656404,792,Manufacturing,2014,(792 : 3.51%)
Construction,3.615633734084557,815,Construction,2014,(815 : 3.62%)
Other Services,4.893305532141431,1103,Other Services,2014,"(1,103 : 4.89%)"
Retail,8.65533915975334,1951,Retail Trade,2014,"(1,951 : 8.66%)"
Entertainment,12.825517945077857,2891,"Arts, Entertainment,<br>Recreation, Accommodation &<br>Food Services",2014,"(2,891 : 12.83%)"
Professional,13.770462712390755,3104,"Professional, Scientific,<br>Management, Administrative,<br>Waste Management Services",2014,"(3,104 : 13.77%)"
Education & Healthcare,39.816334679029325,8975,"Educational Services,<br>Health Care & Social Assistance",2014,"(8,975 : 39.82%)"
Agriculture,0.7625503071383182,180,"Agriculture,<br>Forestry, Fishing &<br>Hunting, Mining",2015,(180 : 0.76%)
Wholesale,0.9235331497564075,218,Wholesale Trade,2015,(218 : 0.92%)
Transportation,1.8640118618936665,440,"Transportation,<br>Warehousing, Utilities",2015,(440 : 1.86%)
Information,2.346960389747935,554,Information,2015,(554 : 2.35%)
Finance & Insurance,3.3679305231942385,795,"Finance &<br>Insurance, Real Estate,<br>Rental & Leasing",2015,(795 : 3.37%)
Public Administration,3.3679305231942385,795,Public Administration,2015,(795 : 3.37%)
Manufacturing,3.4780766786697734,821,Manufacturing,2015,(821 : 3.48%)
Construction,3.5712772717644565,843,Construction,2015,(843 : 3.57%)
Other Services,5.363270493539504,1266,Other Services,2015,"(1,266 : 5.36%)"
Retail,9.13789451387418,2157,Retail Trade,2015,"(2,157 : 9.14%)"
Professional,13.34886676551578,3151,"Professional, Scientific,<br>Management, Administrative,<br>Waste Management Services",2015,"(3,151 : 13.35%)"
Entertainment,14.035162041940266,3313,"Arts, Entertainment,<br>Recreation, Accommodation &<br>Food Services",2015,"(3,313 : 14.04%)"
Education & Healthcare,38.43253547977123,9072,"Educational Services,<br>Health Care & Social Assistance",2015,"(9,072 : 38.43%)"
Agriculture,0.828603388987861,200,"Agriculture,<br>Forestry, Fishing &<br>Hunting, Mining",2016,(200 : 0.83%)
Wholesale,1.1434726768032482,276,Wholesale Trade,2016,(276 : 1.14%)
Transportation,1.7690682354890832,427,"Transportation,<br>Warehousing, Utilities",2016,(427 : 1.77%)
Information,2.365662675560343,571,Information,2016,(571 : 2.37%)
Finance & Insurance,3.4304180304097445,828,"Finance &<br>Insurance, Real Estate,<br>Rental & Leasing",2016,(828 : 3.43%)
Manufacturing,3.492563284583834,843,Manufacturing,2016,(843 : 3.49%)
Public Administration,3.496706301528773,844,Public Administration,2016,(844 : 3.50%)
Construction,3.7535733521150103,906,Construction,2016,(906 : 3.75%)
Other Services,5.746364502630816,1387,Other Services,2016,"(1,387 : 5.75%)"
Retail,9.669801549488337,2334,Retail Trade,2016,"(2,334 : 9.67%)"
Professional,12.859924597091602,3104,"Professional, Scientific,<br>Management, Administrative,<br>Waste Management Services",2016,"(3,104 : 12.86%)"
Entertainment,14.073828561958818,3397,"Arts, Entertainment,<br>Recreation, Accommodation &<br>Food Services",2016,"(3,397 : 14.07%)"
Education & Healthcare,37.37001284335253,9020,"Educational Services,<br>Health Care & Social Assistance",2016,"(9,020 : 37.37%)"
Agriculture,0.7526485867386591,184,"Agriculture,<br>Forestry, Fishing &<br>Hunting, Mining",2017,(184 : 0.75%)
Wholesale,1.1085204728596556,271,Wholesale Trade,2017,(271 : 1.11%)
Transportation,1.7548165419069826,429,"Transportation,<br>Warehousing, Utilities",2017,(429 : 1.75%)
Information,2.1270503538266454,520,Information,2017,(520 : 2.13%)
Public Administration,3.3501043072769665,819,Public Administration,2017,(819 : 3.35%)
Manufacturing,3.3623757516259665,822,Manufacturing,2017,(822 : 3.36%)
Construction,3.587352231357631,877,Construction,2017,(877 : 3.59%)
Finance & Insurance,3.7427905264449626,915,"Finance &<br>Insurance, Real Estate,<br>Rental & Leasing",2017,(915 : 3.74%)
Other Services,5.792121732727942,1416,Other Services,2017,"(1,416 : 5.79%)"
Retail,10.299832290260564,2518,Retail Trade,2017,"(2,518 : 10.30%)"
Professional,12.32871108929521,3014,"Professional, Scientific,<br>Management, Administrative,<br>Waste Management Services",2017,"(3,014 : 12.33%)"
Entertainment,13.98944655785986,3420,"Arts, Entertainment,<br>Recreation, Accommodation &<br>Food Services",2017,"(3,420 : 13.99%)"
Education & Healthcare,37.80422955781896,9242,"Educational Services,<br>Health Care & Social Assistance",2017,"(9,242 : 37.80%)"
