Industry,10th & Page,Barracks / Rugby,Barracks Road,Belmont,Fifeville,Fry's Spring,Greenbrier,Jefferson Park Avenue,Johnson Village,Lewis Mountain,Locust Grove,Martha Jefferson,North Downtown,Ridge Street,Rose Hill,Starr Hill,The Meadows,Venable,Woolen Mills,10th & Pagect,Barracks / Rugbyct,Barracks Roadct,Belmontct,Fifevillect,Fry's Springct,Greenbrierct,Jefferson Park Avenuect,Johnson Villagect,Lewis Mountainct,Locust Grovect,Martha Jeffersonct,North Downtownct,Ridge Streetct,Rose Hillct,Starr Hillct,The Meadowsct,Venablect,Woolen Millsct,Year,Desc
Agriculture,0.0,0.0,0.0,1.394700139470014,0.0,0.0,0.0,0.42621204049014383,0.0,0.0,1.7898832684824904,0.0,1.227495908346972,0.0,1.639344262295082,0.0,0.0,0.0,0.0,0,0,0,30,0,0,0,8,0,0,23,0,15,0,9,0,0,0,0,2013,"Agriculture,<br>Forestry, Fishing &<br>Hunting, Mining"
Construction,2.7586206896551726,6.797020484171322,0.0,5.578800557880056,2.2762545266425245,1.8592964824120604,2.4615384615384617,1.9712306872669152,2.5220680958385877,0.0,9.182879377431906,6.955530216647663,2.20949263502455,8.520475561426684,1.639344262295082,3.732809430255403,3.6144578313253013,0.9896729776247849,9.84375,12,73,0,120,44,37,24,37,20,0,118,61,27,129,9,19,18,23,63,2013,Construction
Manufacturing,5.057471264367816,0.0,12.173913043478262,6.183170618317062,2.6901189860320747,2.4120603015075375,3.282051282051282,2.610548748002131,8.448928121059268,5.420054200542006,5.136186770428016,4.67502850627138,0.900163666121113,3.830911492734478,0.0,1.5717092337917484,0.0,1.5060240963855422,0.0,22,0,14,133,52,48,32,49,67,20,66,41,11,58,0,8,0,35,0,2013,Manufacturing
Wholesale,0.0,1.2104283054003724,0.0,0.0,1.396792550439731,0.0,1.0256410256410255,0.0,0.0,0.0,5.680933852140078,1.4823261117445838,0.0,0.0,0.0,0.0,0.0,0.6024096385542169,0.9375,0,13,0,0,27,0,10,0,0,0,73,13,0,0,0,0,0,14,6,2013,Wholesale Trade
Retail,2.9885057471264367,6.797020484171322,0.0,5.485820548582055,11.536471805483703,6.432160804020101,4.410256410256411,6.180074587107086,12.23203026481715,4.607046070460704,12.762645914396888,14.025085518814139,6.955810147299509,8.124174372523118,9.107468123861567,6.4833005893909625,23.49397590361446,7.74526678141136,7.8125,13,73,0,118,223,128,43,116,97,17,164,123,85,123,50,33,117,180,50,2013,Retail Trade
Transportation,0.0,0.0,0.0,1.0692701069270107,1.0346611484738748,3.7185929648241207,0.0,3.569525839104955,3.278688524590164,4.336043360433604,0.4669260700389105,2.0524515393386547,2.127659574468085,0.9247027741083224,0.0,2.75049115913556,0.0,1.0327022375215147,2.1875,0,0,0,23,20,74,0,67,26,16,6,18,26,14,0,14,0,24,14,2013,"Transportation,<br>Warehousing, Utilities"
Information,0.0,1.2104283054003724,0.0,3.393770339377034,0.7242628039317124,3.0150753768844223,4.0,0.0,0.0,2.4390243902439024,1.6342412451361867,0.6841505131128849,2.3731587561374794,2.642007926023778,11.657559198542804,4.12573673870334,0.0,4.475043029259897,2.03125,0,13,0,73,14,60,39,0,0,9,21,6,29,40,64,21,0,104,13,2013,Information
Finance & Insurance,2.9885057471264367,5.400372439478585,1.7391304347826086,4.881450488145049,1.396792550439731,4.773869346733668,5.128205128205129,0.0,2.269861286254729,8.94308943089431,3.035019455252918,4.903078677309008,5.400981996726678,1.8494055482166447,0.0,2.5540275049115913,1.4056224899598393,4.345955249569707,4.21875,13,58,2,105,27,95,50,0,18,33,39,43,66,28,0,13,7,101,27,2013,"Finance &<br>Insurance, Real Estate,<br>Rental & Leasing"
Professional,12.413793103448276,18.156424581005588,27.82608695652174,21.05997210599721,9.467149508535954,10.201005025125628,20.205128205128204,6.393180607352158,19.293820933165197,10.02710027100271,10.350194552529183,12.770809578107183,15.384615384615385,13.143989431968295,15.846994535519126,22.593320235756384,4.819277108433735,10.025817555938039,14.53125,54,195,32,453,183,203,197,120,153,37,133,112,188,199,87,115,24,233,93,2013,"Professional, Scientific,<br>Management, Administrative,<br>Waste Management Services"
Education & Healthcare,62.52873563218391,43.57541899441341,44.34782608695652,33.333333333333336,47.646145887221934,49.74874371859296,42.56410256410256,53.86254661694193,29.003783102143757,44.44444444444444,33.85214007782101,29.988597491448118,37.64320785597381,31.968295904887714,26.593806921675775,47.93713163064833,37.34939759036145,41.73838209982788,30.3125,272,468,51,717,921,990,415,1011,230,164,435,263,460,484,146,244,186,970,194,2013,"Educational Services,<br>Health Care & Social Assistance"
Entertainment,8.735632183908047,11.080074487895716,13.91304347826087,8.414690841469085,10.863942058975686,7.28643216080402,9.23076923076923,22.48268513585509,8.32282471626734,8.94308943089431,5.058365758754864,3.990877993158495,16.284779050736496,11.030383091149274,20.40072859744991,5.893909626719057,23.895582329317268,18.71772805507745,22.5,38,119,16,181,210,145,90,422,66,33,65,35,199,167,112,30,119,435,144,2013,"Arts, Entertainment,<br>Recreation, Accommodation &<br>Food Services"
