Charlottesville,Staunton,Harrisonburg,Blacksburg,Petersburg,Fredericksburg,Year
41393,23645,43983,41624,32845,22314,2009
42267,23806,47406,42149,32303,23375,2010
42758,23835,48230,42406,32337,24015,2011
43223,23906,49043,42539,32226,24932,2012
43663,23989,49926,42864,32326,25931,2013
44505,24132,50821,43204,32439,26632,2014
45084,24193,51388,43530,32123,27395,2015
45538,24234,51979,43973,31997,27853,2016
46487,24273,53064,44079,32037,28135,2017
47042,24452,53391,44245,31827,28469,2018
47096,24432,53273,44303,31362,28622,2019
47217,24660,53558,44395,30791,29059,2020
