Race and Ethnicity,10th & Page,Barracks / Rugby,Barracks Road,Belmont,Fifeville,Fry's Spring,Greenbrier,Jefferson Park Avenue,Johnson Village,Lewis Mountain,Locust Grove,Martha Jefferson,North Downtown,Ridge Street,Rose Hill,Starr Hill,The Meadows,Venable,Woolen Mills,10th & Pagect,Barracks / Rugbyct,Barracks Roadct,Belmontct,Fifevillect,Fry's Springct,Greenbrierct,Jefferson Park Avenuect,Johnson Villagect,Lewis Mountainct,Locust Grovect,Martha Jeffersonct,North Downtownct,Ridge Streetct,Rose Hillct,Starr Hillct,The Meadowsct,Venablect,Woolen Millsct,Year
"White, not Hispanic",19.90686845168800,70.55125725338490,76.0919540229885,78.65311308767470,33.26743857667330,79.82510930668330,90.73083778966130,65.33571269239350,54.6242774566474,67.52450980392160,85.06607929515420,75.07246376811590,87.27634194831010,40.562613430127000,52.865612648221300,82.76699029126210,43.65307294658240,73.2150711039437,76.9308943089431,171,1459,331,3095,1178,2556,2036,2929,945,551,1931,1036,1756,1341,535,682,760,4994,757,2013
"Black, not Hispanic",76.60069848661230,13.97485493230170,3.4482758620689700,16.36594663278270,51.793278734820700,11.961274203622700,2.985739750445630,5.264331920588890,31.44508670520230,3.0637254901960800,4.273127753303970,12.971014492753600,2.783300198807160,47.67090139140960,41.60079051383400,15.29126213592230,25.674899483055700,10.233103650491100,21.036585365853700,658,289,15,644,1834,383,67,236,544,25,97,179,56,1576,421,126,447,698,207,2013
"American Indian, not Hispanic",0.0,0.4835589941972920,0.0,0.0,0.0,0.0,0.0,1.204550524202540,0.0,0.0,0.0,0.0,1.242544731610340,0.0,0.0,0.0,0.0,0.2052484972877880,0.0,0,10,0,0,0,0,0,54,0,0,0,0,25,0,0,0,0,14,0,2013
"Asian, not Hispanic",1.0477299185099000,3.9168278529980700,19.310344827586200,1.880559085133420,6.4388590793561100,4.4347282948157400,0.5347593582887700,17.443676109747900,9.710982658959540,20.34313725490200,0.748898678414097,4.565217391304350,0.7455268389662030,0.9679370840895340,5.533596837944660,0.0,15.795519816197600,10.570297610321100,0.8130081300813010,9,81,84,74,228,142,12,782,168,166,17,63,15,32,56,0,275,721,8,2013
"Pacific Islander, not Hispanic",0.0,0.0,0.0,0.0,0.7060152499293990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1759272833895320,0.0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,12,0,2013
"Some other race, not Hispanic",0.9313154831199070,0.6286266924564800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
"Two or more races, not Hispanic",1.5133876600698500,1.3056092843326900,0.0,1.1181702668360900,1.1296243998870400,3.029356652092440,0.40106951871657800,2.319875083649340,4.219653179190750,3.553921568627450,2.7753303964757700,3.260869565217390,3.727634194831010,1.7241379310344800,0.0,0.0,2.469844916714530,1.7006304060988100,1.2195121951219500,13,27,0,44,40,97,9,104,73,29,63,45,75,57,0,0,43,116,12,2013
Hispanic or Latino (may be of any race),0.0,9.13926499032882,1.1494252873563200,1.9822109275730600,6.664783959333520,0.749531542785759,5.347593582887700,8.431853669417800,0.0,5.514705882352940,7.136563876651980,4.130434782608700,4.224652087475150,9.074410163339380,0.0,1.941747572815530,12.406662837449700,3.8997214484679700,0.0,0,189,5,78,236,24,120,378,0,45,162,57,85,300,0,16,216,266,0,2013
"White, not Hispanic",20.473157415832600,80.96362777515350,77.2635814889336,80.39772727272730,29.770580296896100,81.56985871271590,89.88603988603990,64.33707865168540,51.590106007067100,68.17129629629630,87.63365876336590,74.66874512860480,89.48919449901770,47.69898697539800,50.9761388286334,74.23887587822010,34.72823472823470,75.19709870703250,74.02597402597400,225,1714,384,3396,1103,2598,1893,2863,1022,589,1885,958,1822,1648,470,634,722,4769,855,2014
"Black, not Hispanic",71.97452229299360,12.045347189419000,7.2434607645875300,15.317234848484800,59.67611336032390,12.087912087912100,1.94681861348528,6.47191011235955,31.145885916203900,4.282407407407410,3.6262203626220400,11.61340607950120,4.076620825147350,41.07091172214180,38.50325379609540,20.140515222482400,18.999518999519,7.347839798170920,22.07792207792210,791,255,36,647,2211,385,41,288,617,37,78,149,83,1419,355,172,395,466,255,2014
