Race,10th & Page,Barracks / Rugby,Barracks Road,Belmont,Fifeville,Fry's Spring,Greenbrier,Jefferson Park Avenue,Johnson Village,Lewis Mountain,Locust Grove,Martha Jefferson,North Downtown,Ridge Street,Rose Hill,Starr Hill,The Meadows,Venable,Woolen Mills,10th & Pagect,Barracks / Rugbyct,Barracks Roadct,Belmontct,Fifevillect,Fry's Springct,Greenbrierct,Jefferson Park Avenuect,Johnson Villagect,Lewis Mountainct,Locust Grovect,Martha Jeffersonct,North Downtownct,Ridge Streetct,Rose Hillct,Starr Hillct,The Meadowsct,Venablect,Woolen Millsct,Year
White,19.90686845168801,76.40232108317214,77.24137931034483,80.35578144853875,33.57808528664219,80.07495315427857,95.67736185383244,72.1614989962079,54.6242774566474,72.42647058823529,91.89427312775331,79.1304347826087,91.50099403578528,45.190562613430124,52.865612648221344,84.70873786407768,56.05973578403216,76.27913795631139,76.9308943089431,171,1580,336,3162,1189,2564,2147,3235,945,591,2086,1092,1841,1494,535,698,976,5203,757,2013
Black,76.60069848661234,13.97485493230174,3.4482758620689653,16.41677255400254,55.77520474442248,11.961274203622736,2.985739750445633,5.264331920588892,31.44508670520231,3.0637254901960786,4.273127753303965,13.043478260869565,2.783300198807157,47.67090139140956,41.60079051383399,15.29126213592233,25.674899483055714,10.233103650491131,21.036585365853657,658,289,15,646,1975,383,67,236,544,25,97,180,56,1576,421,126,447,698,207,2013
Indigenous - Continental U.S.,0.0,1.7891682785299807,0.0,0.0,2.231008189776899,0.0,0.0,1.204550524202543,0.0,0.0,0.0,0.0,1.242544731610338,0.33272837265577737,0.0,0.0,0.0,0.2052484972877877,0.0,0,37,0,0,79,0,0,54,0,0,0,0,25,11,0,0,0,14,0,2013
Asian,1.0477299185098952,3.9168278529980656,19.310344827586206,1.880559085133418,6.580062129341994,4.4347282948157405,0.9358288770053476,17.443676109747937,9.710982658959537,20.34313725490196,0.748898678414097,4.565217391304348,0.7455268389662028,0.9679370840895342,5.533596837944664,0.0,15.795519816197588,10.570297610321067,0.8130081300813008,9,81,84,74,233,142,21,782,168,166,17,63,15,32,56,0,275,721,8,2013
Indigenous - Hawaiian & Pacific Islander,0.0,0.0,0.0,0.0,0.7060152499293985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1759272833895323,0.0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,12,0,2013
Some other race,0.9313154831199069,1.3539651837524178,0.0,0.20330368487928843,0.0,0.0,0.0,1.137631050635735,0.0,0.0,0.30837004405286345,0.0,0.0,4.11373260738052,0.0,0.0,0.0,0.4104969945755754,0.0,8,28,0,8,0,0,0,51,0,0,7,0,0,136,0,0,0,28,0,2013
Multiracial,1.5133876600698486,2.5628626692456478,0.0,1.1435832274459974,1.1296243998870377,3.529044347282948,0.40106951871657753,2.7883113986169974,4.219653179190751,4.166666666666667,2.7753303964757707,3.260869565217391,3.727634194831014,1.7241379310344827,0.0,0.0,2.469844916714532,2.1257880076235156,1.2195121951219512,13,53,0,45,40,113,9,125,73,34,63,45,75,57,0,0,43,145,12,2013
White,20.473157415832574,84.74256022673595,78.06841046277665,81.60511363636364,30.067476383265856,82.26059654631084,96.67616334283001,68.78651685393258,51.590106007067135,72.10648148148148,93.86331938633194,77.55261106780982,91.84675834970531,53.140376266280754,50.9761388286334,77.63466042154566,64.7907647907648,78.99716177861873,75.75757575757575,225,1794,388,3447,1114,2620,2036,3061,1022,623,2019,995,1870,1836,470,663,1347,5010,875,2014
Black,71.97452229299363,12.045347189418989,7.2434607645875255,15.340909090909092,61.3225371120108,12.087912087912088,1.94681861348528,6.47191011235955,31.145885916203937,4.282407407407407,3.6262203626220364,11.691348402182385,4.076620825147348,41.07091172214182,38.50325379609544,20.140515222482435,18.999518999519,7.347839798170924,22.07792207792208,791,255,36,648,2272,385,41,288,617,37,78,150,83,1419,355,172,395,466,255,2014
Indigenous - Continental U.S.,0.0,0.5196032120925839,0.0,0.0,0.0,0.0,0.0,0.9887640449438202,0.0,0.0,0.0,0.0,0.9332023575638507,0.5209840810419681,0.0,0.0,0.0,0.26805424156417534,0.0,0,11,0,0,0,0,0,44,0,0,0,0,19,18,0,0,0,17,0,2014
