Tenure,10th & Page,Barracks / Rugby,Barracks Road,Belmont,Fifeville,Fry's Spring,Greenbrier,Jefferson Park Avenue,Johnson Village,Lewis Mountain,Locust Grove,Martha Jefferson,North Downtown,Ridge Street,Rose Hill,Starr Hill,The Meadows,Venable,Woolen Mills,10th & Pagect,Barracks / Rugbyct,Barracks Roadct,Belmontct,Fifevillect,Fry's Springct,Greenbrierct,Jefferson Park Avenuect,Johnson Villagect,Lewis Mountainct,Locust Grovect,Martha Jeffersonct,North Downtownct,Ridge Streetct,Rose Hillct,Starr Hillct,The Meadowsct,Venablect,Woolen Millsct,Year
Owner occupied,21.68141592920354,50.30612244897959,0.0,49.94731296101159,35.89375448671931,52.7369826435247,80.85339168490154,8.59697386519945,55.46218487394958,34.61538461538461,62.865497076023395,44.33139534883721,55.92039800995025,42.69662921348315,25.495750708215297,23.43470483005367,11.686143572621035,19.68668407310705,51.666666666666664,98,493,0,948,500,790,739,125,330,81,645,305,562,570,90,131,70,377,217,2013
Renter occupied,78.31858407079646,49.69387755102041,100.0,50.05268703898841,64.10624551328068,47.2630173564753,19.14660831509847,91.40302613480056,44.53781512605042,65.38461538461539,37.134502923976605,55.66860465116279,44.07960199004975,57.30337078651685,74.5042492917847,76.56529516994634,88.31385642737897,80.31331592689295,48.333333333333336,354,487,125,950,893,708,175,1329,265,153,381,383,443,765,263,428,529,1538,203,2013
Owner occupied,29.601518026565465,48.37117472852912,0.0,51.10673880964092,35.739313244569026,55.34722222222222,82.86052009456264,10.790835181079084,65.10172143974961,28.404669260700388,63.85199240986717,43.64723467862481,57.242063492063494,45.629629629629626,13.496932515337424,20.130932896890343,9.63302752293578,19.977362761743066,54.96828752642706,156,490,0,1039,510,797,701,146,416,73,673,292,577,616,44,123,63,353,260,2014
Renter occupied,70.39848197343454,51.62882527147088,100.0,48.89326119035908,64.26068675543097,44.65277777777778,17.13947990543735,89.20916481892091,34.89827856025039,71.59533073929961,36.14800759013283,56.35276532137519,42.757936507936506,54.370370370370374,86.50306748466258,79.86906710310966,90.36697247706422,80.02263723825693,45.03171247357294,371,523,157,994,917,643,145,1207,223,184,381,377,431,734,282,488,591,1414,213,2014
Owner occupied,41.495327102803735,59.93265993265993,0.0,50.53068758652515,37.50855578370979,51.22282608695652,81.26361655773421,9.27743086529884,66.71348314606742,34.509803921568626,63.91554702495201,47.652916073968704,58.34932821497121,47.71287825475017,8.80503144654088,22.647527910685806,7.52,22.9107447413303,60.648148148148145,222,534,0,1095,548,754,746,104,475,88,666,335,608,678,28,142,47,403,262,2015
Renter occupied,58.504672897196265,40.06734006734007,100.0,49.46931241347485,62.49144421629021,48.77717391304348,18.736383442265794,90.72256913470116,33.28651685393258,65.49019607843137,36.08445297504799,52.347083926031296,41.65067178502879,52.28712174524983,91.19496855345912,77.35247208931419,92.48,77.0892552586697,39.351851851851855,313,357,251,1072,913,718,172,1017,237,167,376,368,434,743,290,485,578,1356,170,2015
Owner occupied,39.37823834196891,60.90621707060063,0.0,49.862132352941174,29.004037685060567,50.8974358974359,82.3250296559905,7.075873827791987,69.58677685950413,41.86046511627907,66.69931439764936,44.94535519125683,57.12900096993211,43.45198119543318,20.73170731707317,22.84263959390863,9.95260663507109,22.26027397260274,58.755760368663594,228,578,0,1085,431,794,694,83,421,108,681,329,589,647,68,135,63,390,255,2016
Renter occupied,60.62176165803109,39.09378292939937,100.0,50.137867647058826,70.99596231493943,49.1025641025641,17.67497034400949,92.92412617220802,30.41322314049587,58.13953488372093,33.30068560235064,55.05464480874317,42.87099903006789,56.54801880456682,79.26829268292683,77.15736040609137,90.04739336492891,77.73972602739725,41.244239631336406,351,371,340,1091,1055,766,149,1090,184,150,340,403,442,842,260,456,570,1362,179,2016
Owner occupied,47.52650176678445,64.0625,0.0,58.07164971251659,32.75139664804469,52.476489028213166,85.23344191096633,8.873720136518772,61.31687242798354,45.90163934426229,63.4,44.675324675324674,53.54406130268199,42.34592445328032,30.523255813953487,23.432343234323433,13.587786259541986,24.386160714285715,53.99159663865546,269,574,0,1313,469,837,785,104,447,112,634,344,559,639,105,142,89,437,257,2017
Renter occupied,52.47349823321555,35.9375,100.0,41.92835028748341,67.24860335195531,47.523510971786834,14.766558089033659,91.12627986348123,38.68312757201646,54.09836065573771,36.6,55.324675324675326,46.45593869731801,57.65407554671968,69.47674418604652,76.56765676567657,86.41221374045801,75.61383928571429,46.00840336134454,297,322,396,948,963,758,136,1068,282,132,366,426,485,870,239,464,566,1355,219,2017
