Industry,Fry's Spring,Belmont,Venable,Greenbrier,Jefferson Park Ave,Locust Grove,Ridge Street,Barracks / Rugby,Fifeville,North Downtown,Starr Hill,10th & Page,Barracks Road,Lewis Mountain,The Meadows,Johnson Village,Woolen Mills,Rose Hill,Martha Jefferson,Fry's Springct,Belmontct,Venablect,Greenbrierct,Jefferson Park Avect,Locust Grovect,Ridge Streetct,Barracks / Rugbyct,Fifevillect,North Downtownct,Starr Hillct,10th & Pagect,Barracks Roadct,Lewis Mountainct,The Meadowsct,Johnson Villagect,Woolen Millsct,Rose Hillct,Martha Jeffersonct,Year,Desc
Agriculture,0,0,0.882899628,0.692259283,0.945179584,0.529100529,0,0,0,0,1.072705602,0,0,1.639344262,0,0,3.139013453,0,0,0,0,19,11,15,8,0,0,0,0,9,0,0,9,0,0,14,0,0,2013,"Agriculture,<br>Forestry, Fishing &<br>Hunting, Mining"
Construction,3.209191759,6.15199035,2.555762082,1.573316551,0,4.232804233,1.365923796,7.722616233,3.075291622,7.491856678,11.32300358,1.486486486,8.463949843,1.639344262,3.73280943,3.837953092,5.156950673,2.75862069,0,81,153,55,25,0,64,19,98,29,69,95,11,54,9,19,18,23,12,0,2013,Construction
Manufacturing,4.635499208,1.849618014,2.416356877,2.202643172,1.701323251,2.182539683,2.300503235,7.56501182,6.998939555,4.34310532,4.290822408,0,0,0,1.571709234,3.411513859,6.726457399,5.057471264,0,117,46,52,35,27,33,32,96,66,40,36,0,0,0,8,16,30,22,0,2013,Manufacturing
Wholesale,1.069730586,0.241254524,1.25464684,0,0,0,0,0,0,1.08577633,4.52920143,0,2.037617555,0,0,0,7.847533632,0,0,27,6,27,0,0,0,0,0,0,10,38,0,13,0,0,0,35,0,0,2013,Wholesale Trade
Retail,9.825673534,5.307599517,10.26951673,15.54436753,8.254568368,4.62962963,5.319913731,4.570527975,2.120890774,10.8577633,17.52085816,12.97297297,6.5830721,9.107468124,6.483300589,10.23454158,3.811659193,2.988505747,4.615384615,248,132,221,247,131,70,74,58,20,100,147,96,42,50,33,48,17,13,6,2013,Retail Trade
Transportation,2.535657686,1.246481705,0.882899628,1.447451227,2.079395085,3.968253968,3.378864127,0,0,1.520086862,0,0.540540541,0,0,2.750491159,5.756929638,1.34529148,0,0,64,31,19,23,33,60,47,0,0,14,0,4,0,0,14,27,6,0,0,2013,"Transportation,<br>Warehousing, Utilities"
Information,3.24881141,2.211499799,2.555762082,2.076777848,0.56710775,1.322751323,2.94751977,3.940110323,1.590668081,0.760043431,1.430274136,1.891891892,0,11.6575592,4.125736739,4.051172708,2.01793722,0,0,82,55,55,33,9,20,41,50,15,7,12,14,0,64,21,19,9,0,0,2013,Information
Finance & Insurance,2.773375594,5.347808605,0.975836431,5.726872247,1.890359168,2.380952381,2.659956866,3.78250591,5.196182397,3.800217155,4.648390942,2.027027027,5.799373041,0,2.554027505,12.36673774,0,2.988505747,0,70,133,21,91,30,36,37,48,49,35,39,15,37,0,13,58,0,13,0,2013,"Finance &<br>Insurance, Real Estate,<br>Rental & Leasing"
Professional,14.18383518,12.82669883,12.73234201,15.98489616,11.40516698,8.399470899,7.476635514,18.04570528,18.55779427,15.63517915,5.36352801,1.756756757,22.72727273,15.84699454,22.59332024,4.051172708,19.7309417,12.4137931,61.53846154,358,319,274,254,181,127,104,229,175,144,45,13,145,87,115,19,88,54,80,2013,"Professional, Scientific,<br>Management, Administrative,<br>Waste Management Services"
Education & Healthcare,34.38985737,40.00804182,39.54460967,38.01132788,54.25330813,40.34391534,54.56506111,33.33333333,41.03923648,27.57871878,31.94278903,58.37837838,39.02821317,26.59380692,47.93713163,47.97441365,37.44394619,62.52873563,4.615384615,868,995,851,604,861,610,759,423,387,254,268,432,249,146,244,225,167,272,6,2013,"Educational Services,<br>Health Care & Social Assistance"
