age_group,Item,Average,Under_15000,15000_to_29999,30000_to_39999,40000_to_49999,50000_to_69999,70000_and_more,100000_and_more
Under 25,Medical Services,386.545105923025,137.46850948778842,149.7181781649312,506.31963865523505,357.9625456763585,342.9907229599979,955.4741568171371,
Under 25,Drugs,189.1893219026858,72.13694320969358,107.52486405506721,97.99734941714226,2878.6721391285537,349.7960998915966,385.18402073697035,
Under 25,Medical Supplies,74.8590809160198,303.5195628893518,363.40683742190254,314.4081627133314,390.6283288154059,344.35179181316107,121.13561791826471,
Under 25,Sum,650.5935087417306,513.1250155868338,620.649879641901,918.7251507857088,3627.262997287427,1037.1386146647556,1461.7937954723718,
25 to 34,Medical Services,858.8378762531579,194.6336299811214,281.74237957428403,387.9061747761881,662.8431774188733,884.6982987934982,1050.7493521950614,1361.0742920160121
25 to 34,Drugs,292.6309793982636,103.44164116268631,149.7181781649312,221.85510504173322,273.57593378952214,317.1303167525492,295.35311710458996,423.29411195445334
25 to 34,Medical Supplies,123.85775562459094,616.5666567495201,55.80405164016986,92.55305767159821,72.13694320969358,129.30206370302656,148.3570929788765,175.57858437237988
25 to 34,Sum,1275.3266112760125,914.6419278933278,487.26459304649353,702.3143374895195,1008.556054418089,1331.1306629161822,1494.4595786114196,1959.9469883428453
35 to 44,Medical Services,1283.4930570607744,356.60146049030385,322.57460849809326,460.0431179858817,627.4552565734997,1018.0835690560141,1416.8783436561819,1970.835588166825
35 to 44,Drugs,495.4310388312553,362.0457685687394,157.88462394969307,328.01890024363735,319.85245445887546,416.4887350228546,475.0149243693507,673.7317772428531
35 to 44,Medical Supplies,193.27254479506672,600.2337651799963,106.16379520190412,93.91412652476133,100.71950345636007,138.8295783409515,174.2175155192168,298.07527114380775
35 to 44,Sum,1972.196657019988,1318.8809942390396,586.6230276496905,881.9761447542804,1048.0272144887351,1573.4018824198204,2066.110783544749,2942.6426365534858
45 to 54,Medical Services,1430.4890811864877,317.1303167525492,556.6793822169693,555.318313363806,816.6445784761855,1159.6353014361835,1792.5348497552272,1958.585919489682
45 to 54,Drugs,617.9277256026832,340.2685689207801,295.35311710458996,283.1034484274471,507.6807075083982,455.9598950935008,647.8713710354043,830.2553160064914
45 to 54,Medical Supplies,269.4927108971412,142.91280123333246,156.52353876363836,104.802726348741,171.49536147999896,122.49668677142783,360.68468338268474,363.40683742190254
45 to 54,Sum,2317.909534019204,800.3116869066619,1008.556054418089,943.2244881399943,1495.8206474645824,1738.0918833011121,2801.0909041733157,3152.2480729180756
55 to 64,Medical Services,1600.6233738133237,596.1505422876155,922.8083736780897,941.8634192868311,1106.5534038352314,1209.9950449979176,1886.4489762799885,2527.514970383794
55 to 64,Drugs,785.3398641903012,438.2659183379224,541.7075758335002,568.929050894112,552.5961593245884,807.1170638382605,852.0325156544508,1084.7762205201636
55 to 64,Medical Supplies,253.15981932761753,114.33024098666597,121.13561791826471,230.0215508264951,140.19064719411466,225.93832793411417,244.99337354285566,402.8779974925487
55 to 64,Sum,2639.1230573312428,1148.7467016122039,1585.651551096963,1740.8140210074382,1799.340226686826,2243.0504367702924,2983.4748654772948,4015.1691720636145
65 or older,Medical Services,1283.4930570607744,560.7626051093503,894.225813431423,1067.0822437645852,1607.4287507449224,1463.1548643255353,1672.7603170230173,2613.2626511237936
65 or older,Drugs,996.3063857409462,549.8740216182621,758.1183891296894,1177.3292618588703,1169.1628160741084,1135.1359640818978,1092.9426663049255,1487.654201679821
65 or older,Medical Supplies,370.2122143535013,138.8295783409515,321.21353964493017,383.8229518838072,502.23641576285405,269.4927108971412,589.3451653560167,538.9854217942824
65 or older,Sum,2650.011657155222,1249.4662050685638,1973.5577258731512,2628.234473840154,3278.8279825818854,2867.7835393045743,3355.048148683959,4639.902274597896
