Neighborhood,Total,Agriculture,Construction,Manufacturing,Wholesale,Retail,Transportation,Information,Finance & Insurance,Professional,Education & Healthcare,Entertainment,Other Services,Public Administration
Barracks Road,263,0,0,34,0,8,1,8,0,54,104,32,12,10
Rose Hill,372,0,0,0,0,22,39,0,16,66,134,61,34,0
Lewis Mountain,408,0,0,0,0,15,0,5,15,47,240,57,29,0
Starr Hill / Mall,428,0,11,0,0,15,14,13,51,105,144,55,13,7
Woolen Mills,704,15,33,11,34,23,24,3,7,84,306,102,48,14
10th & Page,776,0,16,1,0,140,0,0,28,78,184,139,131,59
The Meadows,959,0,36,72,0,63,30,48,23,125,358,63,104,37
Martha Jefferson,1088,0,0,37,21,116,22,29,70,235,369,101,56,32
Johnson Village,1096,0,23,75,0,31,0,0,10,132,493,209,99,24
Greenbrier,1146,0,48,61,37,120,13,9,58,198,427,77,47,51
Barracks / Rugby,1199,0,74,64,0,120,0,61,27,188,413,118,108,26
North Downtown,1331,27,29,32,0,33,0,47,88,234,448,251,83,59
Locust Grove,1422,12,78,20,34,127,24,47,118,156,499,179,75,53
Jefferson Park Ave,1670,22,0,15,23,94,0,43,4,95,944,303,75,52
Fifeville,1886,0,164,28,22,121,124,35,47,145,646,248,242,64
Fry's Spring,2025,14,71,46,0,161,14,81,126,243,924,125,89,131
Ridge Street,2311,0,123,106,0,303,37,33,162,254,781,341,131,40
Venable,2749,0,47,77,0,174,31,90,92,249,1216,579,140,54
Belmont,3032,49,138,272,23,373,11,87,122,368,1018,396,84,91
