Industry,Barracks Road,Rose Hill,Lewis Mountain,Starr Hill / Mall,Woolen Mills,10th & Page,The Meadows,Martha Jefferson,Johnson Village,Greenbrier,Barracks / Rugby,North Downtown,Locust Grove,Jefferson Park Ave,Fifeville,Fry's Spring,Ridge Street,Venable,Belmont
Agriculture,0,0,0,0,15,0,0,0,0,0,0,27,12,22,0,14,0,0,49
Construction,0,0,0,11,33,16,36,0,23,48,74,29,78,0,164,71,123,47,138
Manufacturing,34,0,0,0,11,1,72,37,75,61,64,32,20,15,28,46,106,77,272
Wholesale,0,0,0,0,34,0,0,21,0,37,0,0,34,23,22,0,0,0,23
Retail,8,22,15,15,23,140,63,116,31,120,120,33,127,94,121,161,303,174,373
Transportation,1,39,0,14,24,0,30,22,0,13,0,0,24,0,124,14,37,31,11
Information,8,0,5,13,3,0,48,29,0,9,61,47,47,43,35,81,33,90,87
Finance & Insurance,0,16,15,51,7,28,23,70,10,58,27,88,118,4,47,126,162,92,122
Professional,54,66,47,105,84,78,125,235,132,198,188,234,156,95,145,243,254,249,368
Education & Healthcare,104,134,240,144,306,184,358,369,493,427,413,448,499,944,646,924,781,1216,1018
Entertainment,32,61,57,55,102,139,63,101,209,77,118,251,179,303,248,125,341,579,396
Other Services,12,34,29,13,48,131,104,56,99,47,108,83,75,75,242,89,131,140,84
Public Administration,10,0,0,7,14,59,37,32,24,51,26,59,53,52,64,131,40,54,91
