Industry,Fry's Spring,Belmont,Venable,Greenbrier,Jefferson Park Ave,Locust Grove,Ridge Street,Barracks / Rugby,Fifeville,North Downtown,Starr Hill / Mall,10th & Page,Barracks Road,Lewis Mountain,The Meadows,Johnson Village,Woolen Mills,Rose Hill,Martha Jefferson,Fry's Springct,Belmontct,Venablect,Greenbrierct,Jefferson Park Avect,Locust Grovect,Ridge Streetct,Barracks / Rugbyct,Fifevillect,North Downtownct,Starr Hill / Mallct,10th & Pagect,Barracks Roadct,Lewis Mountainct,The Meadowsct,Johnson Villagect,Woolen Millsct,Rose Hillct,Martha Jeffersonct,Year,Desc
Agriculture,0.0,0.0,0.8828996282527881,0.6922592825676526,0.945179584120983,0.5291005291005291,0.0,0.0,0.0,0.0,1.0727056019070322,0.0,0.0,1.639344262295082,0.0,0.0,3.1390134529147984,0.0,0.0,0,0,19,11,15,8,0,0,0,0,9,0,0,9,0,0,14,0,0,2013,"Agriculture,<br>Forestry, Fishing &<br>Hunting, Mining"
Construction,3.2091917591125196,6.151990349819059,2.5557620817843865,1.5733165512901195,0.0,4.232804232804233,1.3659237958303379,7.722616233254531,3.0752916224814424,7.49185667752443,11.32300357568534,1.4864864864864864,8.463949843260188,1.639344262295082,3.732809430255403,3.837953091684435,5.15695067264574,2.7586206896551726,0.0,81,153,55,25,0,64,19,98,29,69,95,11,54,9,19,18,23,12,0,2013,Construction
Manufacturing,4.635499207606973,1.8496180136710896,2.41635687732342,2.202643171806167,1.7013232514177694,2.1825396825396823,2.300503235082674,7.5650118203309695,6.998939554612938,4.3431053203040175,4.290822407628129,0.0,0.0,0.0,1.5717092337917484,3.411513859275053,6.726457399103139,5.057471264367816,0.0,117,46,52,35,27,33,32,96,66,40,36,0,0,0,8,16,30,22,0,2013,Manufacturing
Wholesale,1.06973058637084,0.24125452352231605,1.254646840148699,0.0,0.0,0.0,0.0,0.0,0.0,1.0857763300760044,4.529201430274136,0.0,2.0376175548589344,0.0,0.0,0.0,7.8475336322869955,0.0,0.0,27,6,27,0,0,0,0,0,0,10,38,0,13,0,0,0,35,0,0,2013,Wholesale Trade
Retail,9.8256735340729,5.307599517490953,10.269516728624536,15.544367526746381,8.254568367989918,4.62962962962963,5.319913731128684,4.570527974783294,2.1208907741251326,10.857763300760043,17.520858164481524,12.972972972972974,6.58307210031348,9.107468123861567,6.4833005893909625,10.23454157782516,3.811659192825112,2.9885057471264367,4.615384615384615,248,132,221,247,131,70,74,58,20,100,147,96,42,50,33,48,17,13,6,2013,Retail Trade
Transportation,2.535657686212361,1.2464817048652996,0.8828996282527881,1.44745122718691,2.0793950850661624,3.9682539682539684,3.3788641265276778,0.0,0.0,1.520086862106406,0.0,0.5405405405405406,0.0,0.0,2.75049115913556,5.756929637526652,1.345291479820628,0.0,0.0,64,31,19,23,33,60,47,0,0,14,0,4,0,0,14,27,6,0,0,2013,"Transportation,<br>Warehousing, Utilities"
Information,3.248811410459588,2.2114997989545637,2.5557620817843865,2.076777847702958,0.5671077504725898,1.3227513227513228,2.9475197699496767,3.9401103230890464,1.5906680805938493,0.760043431053203,1.430274135876043,1.8918918918918919,0.0,11.657559198542804,4.12573673870334,4.051172707889126,2.0179372197309418,0.0,0.0,82,55,55,33,9,20,41,50,15,7,12,14,0,64,21,19,9,0,0,2013,Information
Finance & Insurance,2.77337559429477,5.347808604744673,0.9758364312267658,5.726872246696035,1.890359168241966,2.380952380952381,2.659956865564342,3.7825059101654848,5.1961823966065745,3.800217155266015,4.64839094159714,2.027027027027027,5.799373040752351,0.0,2.5540275049115913,12.366737739872068,0.0,2.9885057471264367,0.0,70,133,21,91,30,36,37,48,49,35,39,15,37,0,13,58,0,13,0,2013,"Finance &<br>Insurance, Real Estate,<br>Rental & Leasing"
Professional,14.183835182250396,12.82669883393647,12.732342007434944,15.984896161107615,11.405166981726529,8.399470899470899,7.4766355140186915,18.045705279747832,18.55779427359491,15.635179153094462,5.363528009535161,1.7567567567567568,22.727272727272727,15.846994535519126,22.593320235756384,4.051172707889126,19.730941704035875,12.413793103448276,61.53846153846154,358,319,274,254,181,127,104,229,175,144,45,13,145,87,115,19,88,54,80,2013,"Professional, Scientific,<br>Management, Administrative,<br>Waste Management Services"
Education & Healthcare,34.389857369255154,40.008041817450746,39.54460966542751,38.011327879169286,54.253308128544425,40.34391534391534,54.56506110711718,33.333333333333336,41.03923647932132,27.578718783930512,31.942789034564957,58.37837837837838,39.0282131661442,26.593806921675775,47.93713163064833,47.97441364605544,37.44394618834081,62.52873563218391,4.615384615384615,868,995,851,604,861,610,759,423,387,254,268,432,249,146,244,225,167,272,6,2013,"Educational Services,<br>Health Care & Social Assistance"
Entertainment,12.202852614896988,12.625653397667874,12.592936802973977,12.083071113908119,15.626969124133586,24.66931216931217,8.986340762041696,9.535066981875493,14.74019088016967,12.48642779587405,2.3837902264600714,13.64864864864865,8.463949843260188,20.40072859744991,5.893909626719057,2.771855010660981,10.089686098654708,8.735632183908047,5.384615384615385,308,314,271,192,248,373,125,121,139,115,20,101,54,112,30,13,45,38,7,2013,"Arts, Entertainment,<br>Recreation, Accommodation &<br>Food Services"
Other Services,7.844690966719493,7.559308403699236,8.782527881040892,3.0207677784770297,2.7095148078134845,3.1746031746031744,6.9734004313443565,6.067769897557132,2.757158006362672,13.137893593919653,10.0119189511323,7.297297297297297,1.8808777429467085,1.4571948998178506,2.357563850687623,5.543710021321962,2.690582959641256,0.0,4.615384615384615,198,188,189,48,43,48,97,77,26,121,84,54,12,8,12,26,12,0,6,2013,Other Services
Public Administration,4.080824088748019,4.624045034177724,4.553903345724907,1.6362492133417244,0.5671077504725898,4.166666666666667,4.02588066139468,5.4373522458628845,3.9236479321314954,1.3029315960912051,5.482717520858165,0.0,5.015673981191223,11.657559198542804,0.0,0.0,0.0,2.528735632183908,19.23076923076923,103,115,98,26,9,63,56,69,37,12,46,0,32,64,0,0,0,11,25,2013,Public Administration
Agriculture,0.3341288782816229,0.5319148936170213,0.0,0.33381020505484027,0.0,0.0,0.0,0.0,0.0,1.2465373961218837,0.0,0.0,1.0507880910683012,0.0,0.0,0.0,1.5384615384615385,0.0,0.0,7,12,0,7,0,0,0,0,0,18,0,0,6,0,0,0,10,0,0,2014,"Agriculture,<br>Forestry, Fishing &<br>Hunting, Mining"
Construction,3.484486873508353,1.8173758865248226,2.982456140350877,2.050548402479733,2.0707506471095773,2.2135416666666665,4.574468085106383,4.444444444444445,4.082441537851763,11.565096952908588,7.399347116430903,4.566929133858268,1.4010507880910683,0.0,0.0,5.854241338112306,1.2307692307692308,3.6144578313253013,0.0,73,41,68,43,24,34,43,42,103,167,68,29,8,0,0,49,8,15,0,2014,Construction
Manufacturing,4.248210023866348,2.0390070921985815,3.1578947368421053,3.5288507391511685,1.2942191544434858,2.8645833333333335,8.085106382978724,8.253968253968255,0.4756242568370987,5.747922437673131,6.2023939064200215,1.7322834645669292,2.4518388791593697,2.6785714285714284,5.014749262536873,5.4958183990442055,2.6153846153846154,3.3734939759036147,3.3185840707964602,89,46,72,74,15,44,76,78,12,83,57,11,14,12,17,46,17,14,15,2014,Manufacturing
Wholesale,0.5727923627684964,1.551418439716312,0.17543859649122806,1.1921793037672865,3.019844693701467,4.166666666666667,0.0,0.0,0.9116131589377725,2.770083102493075,0.0,0.0,1.4010507880910683,0.0,0.0,1.4336917562724014,0.0,0.0,0.0,12,35,4,25,35,64,0,0,23,40,0,0,8,0,0,12,0,0,0,2014,Wholesale Trade
Retail,5.6324582338902145,9.086879432624114,7.192982456140351,5.007153075822604,10.698878343399482,3.7760416666666665,22.97872340425532,1.7989417989417988,17.637732857709075,11.426592797783934,5.658324265505985,0.0,10.85814360770578,4.241071428571429,5.6047197640118,12.066905615292711,4.461538461538462,2.891566265060241,8.849557522123893,118,205,164,105,124,58,216,17,445,165,52,0,62,19,19,101,29,12,40,2014,Retail Trade
Transportation,5.155131264916467,1.1081560283687943,1.3596491228070176,2.2412970910824987,3.882657463330457,0.0,3.297872340425532,0.0,0.5152596115735236,1.5235457063711912,0.0,4.566929133858268,1.0507880910683012,6.25,0.0,1.1947431302270013,7.6923076923076925,0.0,6.415929203539823,108,25,31,47,45,0,31,0,13,22,0,29,6,28,0,10,50,0,29,2014,"Transportation,<br>Warehousing, Utilities"
Information,0.7637231503579952,3.368794326241135,3.026315789473684,0.0,4.227782571182053,3.9713541666666665,0.0,6.878306878306878,0.9908838684106223,1.6620498614958448,4.787812840043525,4.409448818897638,9.281961471103328,3.794642857142857,4.71976401179941,0.8363201911589009,2.4615384615384617,2.891566265060241,3.7610619469026547,16,76,69,0,49,61,0,65,25,24,44,28,53,17,16,7,16,12,17,2014,Information
Finance & Insurance,3.1503579952267304,4.875886524822695,2.3684210526315788,4.673342870767764,0.0,2.6692708333333335,0.851063829787234,4.338624338624339,0.6738010305192231,2.21606648199446,2.2850924918389555,8.503937007874017,0.0,0.0,2.0648967551622417,4.898446833930705,4.3076923076923075,12.53012048192771,15.265486725663717,66,110,54,98,0,41,8,41,17,32,21,54,0,0,7,41,28,52,69,2014,"Finance &<br>Insurance, Real Estate,<br>Rental & Leasing"
Professional,14.653937947494033,11.25886524822695,18.07017543859649,9.060562708631378,14.926660914581536,13.020833333333334,12.340425531914894,18.201058201058203,12.168053904082441,12.950138504155124,13.928182807399347,16.53543307086614,10.332749562171628,20.982142857142858,15.339233038348082,10.75268817204301,14.153846153846153,23.373493975903614,15.265486725663717,307,254,412,190,173,200,116,172,307,187,128,105,59,94,52,90,92,97,69,2014,"Professional, Scientific,<br>Management, Administrative,<br>Waste Management Services"
Education & Healthcare,42.38663484486874,45.656028368794324,38.81578947368421,52.78969957081545,43.31320103537532,42.96875,30.74468085106383,38.2010582010582,35.354736424891,23.47645429362881,36.779107725788904,35.118110236220474,25.394045534150614,54.017857142857146,59.882005899705014,33.452807646356035,36.92307692307692,36.626506024096386,44.02654867256637,888,1030,885,1107,502,660,289,361,892,339,338,223,145,242,203,280,240,152,199,2014,"Educational Services,<br>Health Care & Social Assistance"
Entertainment,12.649164677804295,14.627659574468085,13.903508771929825,13.257033857892226,13.459879206212252,13.346354166666666,6.914893617021277,10.793650793650794,20.76892588188664,9.210526315789474,10.44613710554951,12.755905511811024,21.891418563922944,3.5714285714285716,2.359882005899705,3.225806451612903,19.846153846153847,8.19277108433735,0.0,265,330,317,278,156,205,65,102,524,133,96,81,125,16,8,27,129,34,0,2014,"Arts, Entertainment,<br>Recreation, Accommodation &<br>Food Services"
Other Services,4.248210023866348,2.7039007092198584,4.166666666666667,3.719599427753934,2.243313201035375,5.794270833333333,7.446808510638298,4.126984126984127,5.826397146254459,12.534626038781163,5.00544069640914,1.1023622047244095,0.8756567425569177,0.0,0.0,14.217443249701315,4.769230769230769,1.4457831325301205,3.0973451327433628,89,61,95,78,26,89,70,39,147,181,46,7,5,0,0,119,31,6,14,2014,Other Services
Public Administration,2.720763723150358,1.374113475177305,4.780701754385965,2.1459227467811157,0.8628127696289906,5.208333333333333,2.765957446808511,2.962962962962963,0.5945303210463734,3.670360110803324,7.50816104461371,10.708661417322835,14.010507880910684,4.464285714285714,5.014749262536873,6.571087216248507,0.0,5.0602409638554215,0.0,57,31,109,45,10,80,26,28,15,53,69,68,80,20,17,55,0,21,0,2014,Public Administration
Agriculture,1.2594458438287153,1.1674449633088726,0.2814636107760354,0.731528895391368,0.0,0.0,0.0,0.0,0.354251012145749,5.242718446601942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,35,7,10,0,0,0,0,7,81,0,0,0,0,0,0,0,0,0,2015,"Agriculture,<br>Forestry, Fishing &<br>Hunting, Mining"
Construction,6.10831234256927,3.90260173448966,3.65902694008846,3.950256035113387,0.9857612267250822,0.0,5.843293492695883,4.058441558441558,2.834008097165992,2.459546925566343,2.093718843469591,5.389221556886228,2.9027576197387517,0.0,0.0,5.675675675675675,4.11214953271028,0.0,3.1531531531531534,194,117,91,54,9,0,88,50,56,38,21,27,20,0,0,42,22,0,14,2015,Construction
Manufacturing,3.9987405541561714,2.268178785857238,3.4981905910735827,1.024140453547915,4.709748083242059,4.130262112787927,0.0,3.896103896103896,8.755060728744938,1.1003236245954693,3.489531405782652,2.395209580838323,0.0,4.235294117647059,3.51288056206089,10.135135135135135,0.9345794392523364,4.18848167539267,3.6036036036036037,127,68,87,14,43,52,0,48,173,17,35,12,0,18,15,75,5,16,16,2015,Manufacturing
Wholesale,2.204030226700252,0.6337558372248165,0.5227181342983515,1.1704462326261886,0.0,1.2708498808578237,0.5976095617529881,0.487012987012987,2.2267206477732793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.672897196261682,0.0,0.0,70,19,13,16,0,16,9,6,44,0,0,0,0,0,0,0,25,0,0,2015,Wholesale Trade
Retail,8.280856423173804,10.67378252168112,6.473663047848814,2.3408924652523773,4.052573932092004,4.447974583002383,21.58034528552457,9.577922077922079,15.232793522267206,10.679611650485437,5.682951146560319,7.7844311377245505,11.611030478955007,6.117647058823529,10.304449648711945,2.4324324324324325,9.532710280373832,3.141361256544503,11.711711711711711,263,320,161,32,37,56,325,118,301,165,57,39,80,26,44,18,51,12,52,2015,Retail Trade
